DATE 	LAT 	LON 	magni 	DEPTHkm 	REGION
19-JUN-2012 14:02:23 	-4.59 	152.97 	4.7 	70.4 	NEW BRITAIN REGION, P.N.G.
19-JUN-2012 13:40:57 	43.44 	-127.27 	5.2 	10.0 	OFF COAST OF OREGON
19-JUN-2012 11:41:34 	-22.43 	-67.04 	5.0 	197.9 	CHILE-BOLIVIA BORDER REGION
19-JUN-2012 10:53:29 	-38.24 	146.19 	5.3 	9.9 	NEAR S.E. COAST OF AUSTRALIA
19-JUN-2012 08:56:19 	-24.05 	-66.67 	4.1 	222.7 	SALTA PROVINCE, ARGENTINA
19-JUN-2012 04:37:35 	-20.48 	-178.54 	5.0 	618.6 	FIJI ISLANDS REGION
19-JUN-2012 04:27:57 	-2.92 	100.88 	4.8 	57.8 	SOUTHERN SUMATERA, INDONESIA
19-JUN-2012 01:48:00 	34.23 	25.08 	4.7 	40.0 	CRETE
19-JUN-2012 01:46:15 	39.11 	29.15 	4.4 	19.8 	TURKEY
19-JUN-2012 00:47:24 	-47.31 	-12.49 	4.6 	13.4 	SOUTHERN MID-ATLANTIC RIDGE
19-JUN-2012 00:36:21 	-16.41 	-174.54 	4.0 	30.7 	TONGA ISLANDS
19-JUN-2012 00:29:16 	-14.95 	167.79 	4.5 	262.6 	VANUATU ISLANDS
18-JUN-2012 22:18:54 	19.27 	-108.47 	4.1 	10.1 	REVILLA GIGEDO ISLANDS REGION
18-JUN-2012 22:09:50 	39.18 	6.40 	4.1 	11.0 	WESTERN MEDITERRANEAN SEA
18-JUN-2012 18:13:52 	-0.02 	123.40 	4.8 	155.0 	MINAHASSA PENINSULA, SULAWESI
18-JUN-2012 14:04:43 	-33.22 	179.54 	4.8 	250.0 	SOUTH OF KERMADEC ISLANDS
18-JUN-2012 13:34:50 	-1.02 	-78.66 	4.9 	35.0 	ECUADOR
18-JUN-2012 12:50:38 	2.07 	129.31 	4.1 	9.2 	HALMAHERA, INDONESIA
18-JUN-2012 08:29:03 	-33.00 	-68.53 	4.9 	14.1 	MENDOZA PROVINCE, ARGENTINA
18-JUN-2012 06:28:51 	-6.26 	154.50 	5.2 	93.3 	SOLOMON ISLANDS
18-JUN-2012 05:20:36 	52.83 	160.60 	4.3 	35.0 	OFF EAST COAST OF KAMCHATKA
18-JUN-2012 05:11:34 	48.14 	130.85 	4.3 	13.1 	E. RUSSIA-N.E. CHINA BORDER REG.
18-JUN-2012 04:57:43 	52.72 	160.45 	4.2 	39.6 	OFF EAST COAST OF KAMCHATKA
